"name";"age";"salary";"gender";"Department";"position";"Joining_Date";"performance_score";"email";"Phone_number"
"Bob";35;70000;"";"IT";"Analyst";"";"B";"email@example.c";""
"Frank";0;50000;"";"Marketing";"Clerk";"";"D";"";"098-765-4321"
"Frank";35;50000;"";"IT";"Director";"";"A";"email@example.c";""
"Jack";35;50000;"";"Finance";"Clerk";"";"D";"user@domain.com";""
"David";50;50000;"";"Sales";"Analyst";"";"F";"user@domain.com";""
"Frank";25;600000;"";"Finance";"Clerk";"";"D";"";"098-765-4321"
"Bob";0;65000;"";"HR";"Director";"";"D";"";""
"Jack";50;0;"";"Sales";"Director";"";"B";"name@company.or";"098-765-4321"
"Bob";40;55000;"";"Finance";"Manager";"";"F";"user@domain.com";"555-555-5555"
"Jack";25;600000;"";"Marketing";"Assistant";"";"D";"";"555-555-5555"
"David";25;600000;"";"Sales";"Manager";"";"D";"email@example.c";"555-555-5555"
"Hannah";40;0;"";"Sales";"Director";"";"F";"";""
"Grace";35;0;"";"IT";"Analyst";"";"F";"email@example.c";"555-555-5555"
"Ivy";50;55000;"";"Marketing";"Analyst";"";"A";"user@domain.com";""
"Hannah";30;55000;"";"HR";"Manager";"";"B";"user@domain.com";""
"Eve";0;0;"";"Finance";"Director";"";"F";"email@example.c";""
"Bob";30;50000;"";"IT";"Analyst";"";"F";"user@domain.com";"098-765-4321"
"Eve";40;600000;"";"Finance";"Director";"";"C";"";"123-456-7890"
"Hannah";25;70000;"";"HR";"Analyst";"";"F";"user@domain.com";"098-765-4321"
"Jack";25;55000;"";"HR";"Director";"";"B";"";"098-765-4321"
"Ivy";0;55000;"";"Sales";"Clerk";"";"D";"";"098-765-4321"
"Ivy";25;0;"";"HR";"Director";"";"D";"name@company.or";"098-765-4321"
"Alice";25;65000;"";"Finance";"Director";"";"D";"user@domain.com";"123-456-7890"
"Ivy";0;70000;"";"Marketing";"Manager";"";"D";"user@domain.com";"555-555-5555"
"Grace";50;70000;"";"Marketing";"Clerk";"";"C";"";"098-765-4321"
"Ivy";50;55000;"";"Sales";"Assistant";"";"F";"";""
"Hannah";0;50000;"";"Finance";"Manager";"";"D";"email@example.c";""
"Alice";40;65000;"";"Finance";"Assistant";"";"A";"email@example.c";""
"Hannah";25;70000;"";"HR";"Analyst";"";"D";"email@example.c";""
"Hannah";25;55000;"";"Finance";"Assistant";"";"F";"";"098-765-4321"
"Charlie";40;70000;"";"IT";"Director";"";"D";"email@example.c";"123-456-7890"
"Alice";50;65000;"";"HR";"Assistant";"";"C";"email@example.c";"555-555-5555"
"Hannah";35;65000;"";"IT";"Manager";"";"B";"name@company.or";""
"Charlie";35;600000;"";"Sales";"Manager";"";"B";"email@example.c";"555-555-5555"
"Charlie";35;0;"";"Marketing";"Assistant";"";"F";"user@domain.com";"123-456-7890"
"Alice";50;0;"";"Sales";"Manager";"";"B";"";""
"Eve";50;55000;"";"Marketing";"Manager";"";"B";"";"555-555-5555"
"Jack";40;65000;"";"Sales";"Assistant";"";"A";"name@company.or";"123-456-7890"
"Grace";25;600000;"";"Finance";"Clerk";"";"F";"";"555-555-5555"
"Jack";40;600000;"";"IT";"Clerk";"";"F";"";"098-765-4321"
"Ivy";40;70000;"";"Marketing";"Analyst";"";"B";"user@domain.com";"123-456-7890"
"Grace";50;70000;"";"HR";"Manager";"";"B";"email@example.c";"555-555-5555"
"Ivy";35;600000;"";"IT";"Assistant";"";"B";"user@domain.com";"098-765-4321"
"Hannah";30;70000;"";"HR";"Manager";"";"C";"email@example.c";"098-765-4321"
"Bob";25;65000;"";"IT";"Director";"";"D";"email@example.c";"123-456-7890"
"Alice";50;50000;"";"IT";"Manager";"";"C";"";""
"Grace";35;65000;"";"Sales";"Manager";"";"F";"email@example.c";""
"Grace";30;600000;"";"Marketing";"Clerk";"";"A";"name@company.or";"123-456-7890"
"Hannah";30;600000;"";"Marketing";"Assistant";"";"D";"name@company.or";"098-765-4321"
"Eve";50;65000;"";"IT";"Manager";"";"A";"name@company.or";"098-765-4321"
"Charlie";0;70000;"";"Finance";"Clerk";"";"F";"";"123-456-7890"
"Hannah";25;70000;"";"Finance";"Analyst";"";"F";"user@domain.com";""
"Frank";30;0;"";"HR";"Clerk";"";"A";"";""
"Charlie";50;600000;"";"HR";"Clerk";"";"A";"email@example.c";"555-555-5555"
"Alice";50;55000;"";"Sales";"Clerk";"";"A";"";"123-456-7890"
"Charlie";35;0;"";"IT";"Manager";"";"F";"user@domain.com";""
"Eve";0;70000;"";"HR";"Manager";"";"B";"user@domain.com";""
"Charlie";25;65000;"";"HR";"Analyst";"";"A";"";"098-765-4321"
"Alice";40;70000;"";"IT";"Director";"";"D";"name@company.or";"555-555-5555"
"Eve";35;65000;"";"Sales";"Director";"";"F";"name@company.or";"123-456-7890"
"Jack";30;0;"";"HR";"Director";"";"C";"user@domain.com";"098-765-4321"
"Grace";30;600000;"";"Sales";"Analyst";"";"C";"";"098-765-4321"
"Grace";35;70000;"";"Marketing";"Director";"";"D";"";""
"Ivy";50;65000;"";"Sales";"Director";"";"B";"email@example.c";""
"Jack";30;600000;"";"Finance";"Clerk";"";"A";"name@company.or";"123-456-7890"
"Jack";0;55000;"";"Finance";"Manager";"";"F";"user@domain.com";"123-456-7890"
"Charlie";25;65000;"";"Sales";"Manager";"";"A";"";"123-456-7890"
"Grace";0;0;"";"Finance";"Clerk";"";"F";"name@company.or";"098-765-4321"
"Alice";30;55000;"";"Marketing";"Clerk";"";"C";"email@example.c";""
"David";40;55000;"";"IT";"Clerk";"";"A";"";"555-555-5555"
"David";25;50000;"";"Finance";"Manager";"";"D";"user@domain.com";"098-765-4321"
"Eve";25;70000;"";"Finance";"Director";"";"B";"name@company.or";"555-555-5555"
"Grace";35;65000;"";"Sales";"Clerk";"";"D";"";""
"Grace";35;55000;"";"Marketing";"Analyst";"";"B";"email@example.c";""
"David";40;50000;"";"IT";"Clerk";"";"A";"email@example.c";"123-456-7890"
"Grace";50;0;"";"Sales";"Assistant";"";"A";"name@company.or";"555-555-5555"
"Charlie";25;600000;"";"Sales";"Clerk";"";"B";"";"098-765-4321"
"Frank";40;65000;"";"Marketing";"Manager";"";"C";"email@example.c";"555-555-5555"
"Bob";35;55000;"";"IT";"Clerk";"";"F";"user@domain.com";""
"Jack";35;70000;"";"Marketing";"Assistant";"";"D";"email@example.c";"123-456-7890"
"Ivy";25;50000;"";"IT";"Analyst";"";"D";"";"555-555-5555"
"Eve";0;55000;"";"Marketing";"Director";"";"D";"";""
"Frank";30;70000;"";"Sales";"Clerk";"";"A";"";"098-765-4321"
"David";35;55000;"";"Sales";"Assistant";"";"D";"name@company.or";""
"Jack";50;65000;"";"HR";"Assistant";"";"F";"";"098-765-4321"
"Grace";50;65000;"";"Finance";"Analyst";"";"F";"email@example.c";"123-456-7890"
"Ivy";35;65000;"";"Marketing";"Manager";"";"B";"email@example.c";"098-765-4321"
"Grace";0;0;"";"HR";"Clerk";"";"A";"";"098-765-4321"
"Alice";0;0;"";"Finance";"Assistant";"";"F";"";"098-765-4321"
"Alice";40;50000;"";"Marketing";"Analyst";"";"C";"user@domain.com";"098-765-4321"
"Ivy";50;65000;"";"IT";"Director";"";"A";"";"123-456-7890"
"Ivy";40;70000;"";"Finance";"Assistant";"";"A";"user@domain.com";""
"David";50;55000;"";"Sales";"Analyst";"";"F";"email@example.c";"555-555-5555"
"Ivy";30;600000;"";"HR";"Manager";"";"C";"user@domain.com";""
"Charlie";30;70000;"";"Finance";"Manager";"";"B";"user@domain.com";"555-555-5555"
"Grace";25;0;"";"Finance";"Assistant";"";"F";"name@company.or";"555-555-5555"
"Frank";40;0;"";"Sales";"Assistant";"";"C";"";""
"Hannah";35;70000;"";"Marketing";"Clerk";"";"A";"user@domain.com";"123-456-7890"
"Ivy";40;0;"";"IT";"Analyst";"";"C";"email@example.c";""
"Eve";35;65000;"";"Sales";"Assistant";"";"A";"";"123-456-7890"
"Alice";0;50000;"";"IT";"Clerk";"";"F";"user@domain.com";"555-555-5555"
"Charlie";40;55000;"";"Marketing";"Clerk";"";"F";"";"123-456-7890"
"Jack";0;50000;"";"Finance";"Assistant";"";"D";"name@company.or";""
"Hannah";30;55000;"";"IT";"Manager";"";"D";"email@example.c";""
"Frank";30;55000;"";"HR";"Analyst";"";"D";"name@company.or";""
"Hannah";25;50000;"";"HR";"Analyst";"";"F";"";"555-555-5555"
"Ivy";40;70000;"";"Sales";"Manager";"";"B";"user@domain.com";""
"David";0;55000;"";"Marketing";"Assistant";"";"F";"user@domain.com";"555-555-5555"
"Alice";35;50000;"";"Sales";"Analyst";"";"C";"";""
"Alice";30;55000;"";"Sales";"Assistant";"";"F";"user@domain.com";"555-555-5555"
"Jack";30;600000;"";"Sales";"Assistant";"";"F";"email@example.c";""
"David";35;70000;"";"HR";"Clerk";"";"A";"";""
"Grace";0;65000;"";"HR";"Manager";"";"A";"name@company.or";"555-555-5555"
"Bob";0;55000;"";"Sales";"Assistant";"";"A";"";""
"Charlie";40;600000;"";"HR";"Director";"";"F";"user@domain.com";""
"Alice";40;65000;"";"Marketing";"Manager";"";"B";"name@company.or";"555-555-5555"
"Eve";50;65000;"";"Sales";"Analyst";"";"C";"";""
"Alice";50;55000;"";"HR";"Clerk";"";"C";"";""
"Hannah";25;50000;"";"IT";"Analyst";"";"B";"name@company.or";""
"Alice";30;55000;"";"Sales";"Analyst";"";"B";"name@company.or";""
"Alice";40;600000;"";"Sales";"Manager";"";"C";"name@company.or";""
"Bob";0;65000;"";"Marketing";"Analyst";"";"D";"email@example.c";"555-555-5555"
"Bob";35;55000;"";"Finance";"Assistant";"";"A";"";""
"Frank";0;50000;"";"Finance";"Analyst";"";"A";"name@company.or";""
"Grace";30;55000;"";"Marketing";"Clerk";"";"C";"";"123-456-7890"
"Eve";50;70000;"";"Marketing";"Clerk";"";"B";"name@company.or";""
"Alice";0;50000;"";"Marketing";"Director";"";"D";"";""
"Alice";25;600000;"";"Finance";"Clerk";"";"C";"";"123-456-7890"
"Charlie";30;65000;"";"Marketing";"Analyst";"";"A";"";""
"Bob";50;55000;"";"HR";"Clerk";"";"F";"user@domain.com";"098-765-4321"
"Eve";35;50000;"";"Sales";"Manager";"";"B";"name@company.or";"098-765-4321"
"Jack";50;70000;"";"Sales";"Clerk";"";"F";"user@domain.com";""
"Frank";25;50000;"";"IT";"Assistant";"";"C";"";""
"Grace";30;0;"";"IT";"Manager";"";"A";"user@domain.com";"098-765-4321"
"David";35;70000;"";"Sales";"Director";"";"D";"";"555-555-5555"
"Grace";25;600000;"";"HR";"Assistant";"";"F";"";"555-555-5555"
"Hannah";50;65000;"";"Finance";"Analyst";"";"D";"";"123-456-7890"
"Alice";25;600000;"";"Finance";"Analyst";"";"A";"user@domain.com";""
"Frank";30;55000;"";"HR";"Analyst";"";"F";"name@company.or";""
"Hannah";40;50000;"";"Finance";"Assistant";"";"D";"user@domain.com";"098-765-4321"
"Eve";25;0;"";"Marketing";"Assistant";"";"D";"name@company.or";""
"David";25;70000;"";"Sales";"Assistant";"";"F";"name@company.or";""
"Bob";50;70000;"";"Sales";"Manager";"";"A";"";"098-765-4321"
"Frank";50;50000;"";"HR";"Manager";"";"D";"user@domain.com";"098-765-4321"
"Frank";35;0;"";"Finance";"Analyst";"";"C";"name@company.or";""
"Alice";50;50000;"";"IT";"Clerk";"";"F";"";"098-765-4321"
"Ivy";0;55000;"";"IT";"Analyst";"";"B";"name@company.or";"123-456-7890"
"Frank";30;600000;"";"Finance";"Director";"";"B";"";"123-456-7890"
"Charlie";30;70000;"";"IT";"Manager";"";"A";"user@domain.com";""
"David";40;55000;"";"HR";"Assistant";"";"C";"user@domain.com";""
"David";40;600000;"";"HR";"Manager";"";"D";"user@domain.com";"123-456-7890"
"Charlie";30;55000;"";"Finance";"Assistant";"";"B";"name@company.or";"123-456-7890"
"Jack";40;0;"";"IT";"Director";"";"A";"email@example.c";""
"Charlie";35;70000;"";"HR";"Director";"";"C";"name@company.or";"555-555-5555"
"Charlie";50;50000;"";"HR";"Manager";"";"C";"name@company.or";"098-765-4321"
"David";30;50000;"";"Marketing";"Assistant";"";"A";"";"123-456-7890"
"Grace";40;600000;"";"Marketing";"Director";"";"A";"";"555-555-5555"
"David";30;65000;"";"HR";"Analyst";"";"D";"name@company.or";""
"Ivy";0;0;"";"Finance";"Analyst";"";"A";"";"555-555-5555"
"Alice";25;600000;"";"Sales";"Assistant";"";"D";"";""
"Hannah";50;65000;"";"Sales";"Manager";"";"D";"name@company.or";""
"Grace";30;55000;"";"HR";"Director";"";"F";"email@example.c";""
"Bob";25;0;"";"HR";"Manager";"";"C";"";"555-555-5555"
"Hannah";40;55000;"";"HR";"Analyst";"";"C";"user@domain.com";""
"Alice";25;70000;"";"Finance";"Director";"";"C";"name@company.or";"123-456-7890"
"Ivy";50;0;"";"Marketing";"Manager";"";"F";"name@company.or";"555-555-5555"
"Ivy";30;65000;"";"HR";"Clerk";"";"D";"";"123-456-7890"
"Bob";0;70000;"";"HR";"Assistant";"";"D";"";"555-555-5555"
"Grace";40;50000;"";"IT";"Assistant";"";"A";"";"123-456-7890"
"Jack";30;65000;"";"Finance";"Clerk";"";"F";"";"555-555-5555"
"Charlie";50;600000;"";"HR";"Analyst";"";"A";"user@domain.com";""
"Grace";40;50000;"";"IT";"Director";"";"F";"";"098-765-4321"
"Jack";35;50000;"";"Sales";"Assistant";"";"A";"";""
"Ivy";25;600000;"";"HR";"Clerk";"";"B";"";"123-456-7890"
"David";50;0;"";"HR";"Clerk";"";"C";"";""
"Alice";35;50000;"";"IT";"Analyst";"";"C";"email@example.c";""
"Bob";30;65000;"";"Finance";"Analyst";"";"D";"email@example.c";"098-765-4321"
"Alice";0;70000;"";"HR";"Manager";"";"B";"name@company.or";"123-456-7890"
"Eve";40;50000;"";"Sales";"Assistant";"";"C";"name@company.or";""
"Eve";25;65000;"";"HR";"Manager";"";"D";"";"555-555-5555"
"Grace";40;55000;"";"Sales";"Clerk";"";"B";"";""
"Ivy";30;65000;"";"Marketing";"Director";"";"C";"user@domain.com";"123-456-7890"
"Ivy";40;70000;"";"Marketing";"Director";"";"A";"user@domain.com";""
"Charlie";25;65000;"";"Sales";"Analyst";"";"F";"email@example.c";"123-456-7890"
"Charlie";30;600000;"";"Finance";"Director";"";"B";"name@company.or";"555-555-5555"
"Charlie";40;70000;"";"HR";"Director";"";"D";"email@example.c";"098-765-4321"
"David";0;0;"";"HR";"Director";"";"B";"email@example.c";""
"Hannah";50;55000;"";"Marketing";"Clerk";"";"D";"name@company.or";"123-456-7890"
"Frank";30;600000;"";"Sales";"Director";"";"B";"user@domain.com";"123-456-7890"
"Hannah";50;0;"";"HR";"Director";"";"D";"name@company.or";"123-456-7890"
"Alice";30;65000;"";"HR";"Director";"";"C";"";"098-765-4321"
"Hannah";0;70000;"";"Finance";"Manager";"";"A";"";"123-456-7890"
"David";50;55000;"";"IT";"Clerk";"";"C";"";""
"Alice";35;600000;"";"Marketing";"Analyst";"";"A";"";""
"Hannah";25;0;"";"Marketing";"Manager";"";"C";"user@domain.com";"123-456-7890"
"David";35;0;"";"IT";"Assistant";"";"C";"user@domain.com";""
"Frank";40;55000;"";"HR";"Clerk";"";"B";"";""
"Hannah";0;65000;"";"Finance";"Clerk";"";"F";"email@example.c";""
"David";35;55000;"";"Finance";"Assistant";"";"D";"";"123-456-7890"
"Charlie";30;0;"";"Marketing";"Assistant";"";"D";"";"555-555-5555"
"Ivy";40;50000;"";"Finance";"Assistant";"";"D";"email@example.c";""
"Charlie";40;600000;"";"IT";"Analyst";"";"A";"name@company.or";"098-765-4321"
"Ivy";35;55000;"";"HR";"Director";"";"D";"name@company.or";"123-456-7890"
"Bob";35;0;"";"IT";"Clerk";"";"D";"user@domain.com";"098-765-4321"
"Bob";0;65000;"";"Sales";"Director";"";"B";"";"555-555-5555"
"Bob";25;0;"";"Marketing";"Director";"";"C";"user@domain.com";"098-765-4321"
"Frank";35;65000;"";"Finance";"Assistant";"";"D";"name@company.or";"123-456-7890"
"Charlie";35;55000;"";"Sales";"Analyst";"";"F";"email@example.c";"123-456-7890"
"Ivy";50;65000;"";"Finance";"Manager";"";"D";"user@domain.com";"555-555-5555"
"David";30;70000;"";"HR";"Analyst";"";"A";"";"123-456-7890"
"Alice";50;70000;"";"HR";"Director";"";"A";"";"555-555-5555"
"David";50;70000;"";"HR";"Analyst";"";"A";"email@example.c";"555-555-5555"
"Alice";40;50000;"";"Finance";"Assistant";"";"D";"name@company.or";"123-456-7890"
"Eve";25;55000;"";"Sales";"Manager";"";"B";"";""
"David";30;0;"";"HR";"Assistant";"";"F";"";"555-555-5555"
"Hannah";0;0;"";"Sales";"Manager";"";"D";"";"123-456-7890"
"Hannah";0;50000;"";"Finance";"Director";"";"B";"user@domain.com";""
"Grace";35;65000;"";"Sales";"Manager";"";"B";"name@company.or";"555-555-5555"
"Charlie";35;50000;"";"Finance";"Manager";"";"D";"user@domain.com";""
"Alice";0;65000;"";"Finance";"Manager";"";"D";"name@company.or";""
"Alice";35;65000;"";"Marketing";"Analyst";"";"B";"";""
"Charlie";25;600000;"";"Finance";"Analyst";"";"B";"";""
"Frank";50;0;"";"Finance";"Director";"";"B";"user@domain.com";"555-555-5555"
"Grace";35;70000;"";"IT";"Manager";"";"D";"";"123-456-7890"
"Frank";40;65000;"";"HR";"Clerk";"";"B";"name@company.or";"098-765-4321"
"Frank";35;600000;"";"Marketing";"Director";"";"A";"user@domain.com";"123-456-7890"
"Frank";30;0;"";"Marketing";"Manager";"";"D";"user@domain.com";"098-765-4321"
"Charlie";25;70000;"";"Marketing";"Manager";"";"A";"";"098-765-4321"
"Frank";30;65000;"";"IT";"Analyst";"";"C";"user@domain.com";"555-555-5555"
"Hannah";30;65000;"";"Finance";"Director";"";"D";"";""
"Bob";40;50000;"";"HR";"Manager";"";"C";"";"123-456-7890"
"Eve";25;50000;"";"Sales";"Manager";"";"B";"";""
"Alice";25;0;"";"Finance";"Director";"";"B";"name@company.or";""
"Alice";25;70000;"";"IT";"Clerk";"";"F";"";"555-555-5555"
"Eve";25;65000;"";"Finance";"Director";"";"B";"";"555-555-5555"
"Charlie";25;0;"";"Finance";"Director";"";"C";"email@example.c";""
"David";40;0;"";"IT";"Clerk";"";"B";"email@example.c";"123-456-7890"
"Charlie";35;55000;"";"Marketing";"Director";"";"D";"user@domain.com";""
"Alice";30;50000;"";"Marketing";"Manager";"";"B";"user@domain.com";"123-456-7890"
"Alice";25;70000;"";"HR";"Director";"";"F";"email@example.c";"098-765-4321"
"Eve";35;65000;"";"HR";"Clerk";"";"B";"";"555-555-5555"
"Frank";35;0;"";"Marketing";"Assistant";"";"C";"user@domain.com";"123-456-7890"
"Charlie";30;65000;"";"Sales";"Director";"";"C";"";""
"Ivy";40;55000;"";"Finance";"Analyst";"";"B";"";""
"Eve";0;70000;"";"Sales";"Manager";"";"C";"";"555-555-5555"
"Hannah";0;0;"";"Finance";"Manager";"";"C";"user@domain.com";""
"Alice";35;65000;"";"Marketing";"Analyst";"";"F";"";""
"Eve";50;50000;"";"HR";"Analyst";"";"D";"user@domain.com";"123-456-7890"
"Charlie";50;55000;"";"HR";"Director";"";"F";"user@domain.com";""
"Alice";30;70000;"";"Sales";"Analyst";"";"A";"";"555-555-5555"
"David";0;55000;"";"HR";"Assistant";"";"F";"email@example.c";"123-456-7890"
"Eve";35;50000;"";"Marketing";"Clerk";"";"B";"";"098-765-4321"
"Grace";40;70000;"";"Sales";"Analyst";"";"D";"";""
"Alice";0;55000;"";"Finance";"Analyst";"";"B";"name@company.or";""
"Charlie";35;600000;"";"HR";"Assistant";"";"A";"";"123-456-7890"
"Bob";35;50000;"";"IT";"Manager";"";"D";"user@domain.com";""
"Ivy";25;50000;"";"HR";"Manager";"";"C";"user@domain.com";""
"Jack";40;50000;"";"Finance";"Director";"";"F";"";"555-555-5555"
"Frank";25;600000;"";"Sales";"Assistant";"";"B";"name@company.or";""
"Jack";30;600000;"";"Finance";"Clerk";"";"A";"";"098-765-4321"
"Charlie";25;65000;"";"IT";"Clerk";"";"C";"name@company.or";""
"Hannah";25;0;"";"Marketing";"Assistant";"";"F";"name@company.or";""
"Hannah";0;55000;"";"HR";"Clerk";"";"C";"";""
"Bob";50;65000;"";"Sales";"Manager";"";"F";"user@domain.com";"123-456-7890"
"Frank";35;55000;"";"Marketing";"Clerk";"";"D";"user@domain.com";""
"Grace";40;0;"";"Finance";"Clerk";"";"C";"name@company.or";""
"Bob";25;600000;"";"Sales";"Assistant";"";"C";"user@domain.com";"123-456-7890"
"Jack";40;0;"";"Marketing";"Assistant";"";"C";"email@example.c";"555-555-5555"
"Bob";50;600000;"";"Sales";"Clerk";"";"D";"name@company.or";"123-456-7890"
"Jack";50;0;"";"IT";"Analyst";"";"A";"user@domain.com";"098-765-4321"
"Alice";25;65000;"";"IT";"Assistant";"";"F";"email@example.c";"123-456-7890"
"Hannah";30;70000;"";"HR";"Director";"";"C";"";"555-555-5555"
"Alice";25;65000;"";"HR";"Director";"";"D";"user@domain.com";""
"Ivy";0;55000;"";"IT";"Manager";"";"A";"email@example.c";"123-456-7890"
"Frank";35;65000;"";"Sales";"Clerk";"";"F";"";"123-456-7890"
"Grace";30;50000;"";"IT";"Analyst";"";"D";"";"123-456-7890"
"Jack";25;55000;"";"HR";"Manager";"";"F";"email@example.c";"123-456-7890"
"Grace";40;0;"";"IT";"Clerk";"";"C";"name@company.or";"555-555-5555"
"Jack";30;55000;"";"IT";"Assistant";"";"A";"name@company.or";""
"Charlie";30;70000;"";"Sales";"Director";"";"D";"user@domain.com";""
"Bob";25;600000;"";"Marketing";"Analyst";"";"A";"";"123-456-7890"
"Ivy";30;0;"";"HR";"Director";"";"C";"name@company.or";"555-555-5555"
"Hannah";40;55000;"";"Sales";"Assistant";"";"A";"name@company.or";"555-555-5555"
"Jack";50;0;"";"IT";"Clerk";"";"A";"";"123-456-7890"
"Grace";30;0;"";"IT";"Assistant";"";"B";"";"098-765-4321"
"Ivy";50;0;"";"Marketing";"Assistant";"";"A";"name@company.or";"123-456-7890"
"David";40;600000;"";"HR";"Director";"";"F";"email@example.c";"098-765-4321"
"David";25;65000;"";"HR";"Analyst";"";"D";"user@domain.com";"123-456-7890"
"Alice";35;0;"";"Finance";"Assistant";"";"B";"name@company.or";"098-765-4321"
"Hannah";30;50000;"";"HR";"Director";"";"D";"name@company.or";"098-765-4321"
"Charlie";35;70000;"";"Marketing";"Analyst";"";"D";"";"123-456-7890"
"Grace";40;600000;"";"Finance";"Clerk";"";"C";"email@example.c";"098-765-4321"
"Bob";30;55000;"";"Finance";"Clerk";"";"C";"user@domain.com";""
"Bob";50;600000;"";"IT";"Manager";"";"B";"name@company.or";""
"Grace";0;55000;"";"IT";"Director";"";"C";"user@domain.com";"555-555-5555"
"Frank";35;600000;"";"HR";"Analyst";"";"C";"";"098-765-4321"
"Charlie";30;55000;"";"Finance";"Assistant";"";"C";"name@company.or";"098-765-4321"
"Ivy";35;0;"";"IT";"Clerk";"";"D";"name@company.or";"555-555-5555"
"Jack";30;65000;"";"Marketing";"Analyst";"";"B";"";"098-765-4321"
"Frank";25;55000;"";"IT";"Director";"";"D";"";"555-555-5555"
"Jack";50;55000;"";"IT";"Manager";"";"F";"name@company.or";"123-456-7890"
"Jack";35;50000;"";"Finance";"Clerk";"";"D";"user@domain.com";""
